,0
0,-0.21
1,-14.065
2,10.716
3,-4.539
4,14.579
5,-3.694
6,-6.359
7,5.073
8,-17.714
9,10.73
10,-3.969
11,-16.09
12,4.133
13,17.63
14,-6.306
15,-8.333
16,-9.496
17,5.338
18,-2.649
19,-6.291
20,3.4
21,-13.196
22,14.683
23,4.001
24,-24.63
25,-22.419
26,-6.097
27,-14.147
28,-4.293
29,-4.37
30,8.91
31,10.818
32,-7.123
33,-1.338
34,16.511
35,-4.074
36,7.416
37,-3.623
38,-7.869
39,-11.908
40,-11.872
41,6.756
42,10.857
43,-19.854
44,0.351
45,-4.838
46,-15.217
47,4.419
48,14.435
49,-13.485
