,0,1,2,3,4,5
0,28.487,-0.45,-0.42,-8.476,5.222,-38.393
1,362.621,-0.092,1.27,16.371,19.371,1724.245
2,16.916,-0.89,-0.124,-6.895,4.284,-16.9
3,11.993,0.991,1.279,0.816,3.816,10.264
4,2.633,-0.717,-0.922,-4.522,1.676,-0.944
5,14.093,0.953,0.297,0.725,3.725,13.24
6,-0.373,-0.054,0.592,-3.492,-0.277,-0.385
7,149.553,0.163,0.536,-15.498,11.981,-458.67
8,21.412,-0.734,-1.045,-7.691,4.576,-24.927
9,86.297,-0.997,1.095,6.417,9.417,200.08
10,197.608,0.674,-0.658,11.371,14.371,693.072
11,169.558,0.227,0.514,9.932,12.932,552.337
12,188.984,-0.559,-0.883,-16.917,13.589,-650.511
13,105.275,-0.915,-0.005,7.343,10.343,269.794
14,25.679,-0.561,-0.98,-8.349,4.837,-33.276
15,11.747,-0.991,1.003,-6.266,3.547,-9.745
16,271.962,-0.924,-0.059,-19.553,16.433,-1121.678
17,87.675,-1.0,0.929,6.303,9.303,205.397
18,28.092,-0.451,-0.795,-8.845,4.849,-38.715
19,698.392,-0.603,-0.855,-29.431,26.423,-4614.158
20,1.047,-0.416,0.167,-3.547,1.169,0.153
21,46.829,-0.275,0.463,3.866,6.866,80.076
22,76.208,0.935,0.603,-11.225,9.18,-164.281
23,31.198,0.341,0.157,2.566,5.566,43.586
24,24.584,-0.607,-1.074,-8.194,4.766,-31.086
25,106.883,-0.9,0.023,7.579,10.579,275.521
26,8.407,-0.993,0.823,-5.986,2.838,-6.249
27,45.014,0.214,0.566,-9.799,6.632,-75.796
28,115.294,-0.79,-1.055,7.568,10.568,310.03
29,137.605,0.407,-0.031,-14.651,11.804,-403.134
30,225.015,0.937,0.369,12.222,15.222,842.776
31,3.866,-0.829,-0.674,-4.909,2.001,-1.821
32,33.671,-0.262,1.061,-8.181,6.325,-47.035
33,68.541,0.834,-0.287,-10.845,8.663,-140.183
34,115.297,-0.793,-0.798,7.803,10.803,309.294
35,248.48,1.0,1.161,12.924,15.924,978.396
36,221.985,-0.922,-0.426,-18.319,14.507,-829.526
37,2.504,0.703,-0.93,-1.37,1.63,1.019
38,40.31,0.043,0.728,-9.627,6.112,-64.855
39,120.19,-0.717,-1.117,7.85,10.85,329.782
40,50.568,-0.402,-0.07,4.123,7.123,89.877
41,100.341,0.956,0.28,-13.11,9.933,-251.699
42,82.686,0.987,0.581,-12.327,8.884,-188.948
43,49.654,-0.369,0.173,4.151,7.151,87.287
44,55.916,-0.567,-0.895,4.337,7.337,104.803
45,384.206,-0.372,-0.394,16.174,19.174,1885.51
46,31.996,-0.318,0.497,-8.414,5.86,-44.551
47,4.559,-0.901,-0.694,-5.71,1.774,-3.286
48,30.416,0.363,-0.19,2.266,5.266,42.231
49,73.058,-0.908,-0.404,5.313,8.313,156.664
50,11.364,-0.99,0.439,-6.829,3.031,-10.485
51,9.075,0.997,1.098,0.133,3.133,6.817
52,1.276,-0.529,-0.582,-4.084,1.147,-0.316
53,22.877,-0.691,-0.765,-7.528,4.989,-26.711
54,2.858,-0.742,-0.919,-4.612,1.733,-1.109
55,177.867,-0.38,-0.238,-16.596,13.096,-594.535
56,97.843,-0.971,0.171,6.52,9.52,243.018
57,5.479,-0.915,0.052,-5.164,2.455,-2.934
58,14.058,0.955,0.424,0.802,3.802,13.152
59,67.64,-0.828,-0.891,5.068,8.068,139.422
60,1.278,-0.552,-0.782,-4.257,1.081,-0.487
61,0.357,-0.131,1.153,-2.975,0.551,0.284
62,154.383,-0.073,1.083,9.545,12.545,479.097
63,35.429,0.161,0.702,2.864,5.864,52.839
64,13.453,-0.961,0.203,-6.936,3.464,-12.898
65,-0.03,-0.179,0.59,-3.521,0.2,-0.172
66,47.526,-0.306,0.16,3.745,6.745,82.165
67,18.488,-0.825,-1.127,-7.73,3.959,-20.884
68,4.137,0.855,-0.639,-1.014,1.986,2.089
69,19.587,-0.801,-0.852,-7.438,4.416,-21.7
70,323.184,0.423,-0.154,14.996,17.996,1452.381
71,18.971,0.838,-0.155,1.813,4.813,20.335
72,52.77,-0.466,-0.192,4.421,7.421,95.545
73,167.21,0.175,1.096,10.251,13.251,539.267
74,173.479,0.296,0.435,10.244,13.244,570.928
75,38.209,-0.056,1.11,-9.035,6.306,-58.596
76,102.56,0.94,0.325,-12.975,10.265,-258.965
77,97.737,-0.974,0.657,6.933,9.933,241.43
78,255.533,-0.991,0.983,-18.853,16.11,-1020.3
79,54.0,-0.512,-0.673,4.23,7.23,99.429
80,0.275,-0.301,0.239,-3.712,0.513,-0.157
81,506.021,-0.968,0.306,19.28,22.28,2847.357
82,27.358,0.51,-0.355,2.397,5.397,35.598
83,83.196,0.99,0.532,-12.447,8.83,-191.077
84,511.05,0.953,0.216,-25.722,22.496,-2889.328
85,91.566,-0.998,1.021,6.626,9.626,218.894
86,38.096,-0.076,1.461,-8.624,6.638,-57.107
87,29.655,0.411,-0.021,2.538,5.538,40.267
88,176.041,-0.348,-0.094,-16.52,13.035,-585.381
89,16.535,-0.9,-0.069,-6.879,4.212,-16.388
90,62.076,-0.723,-1.336,4.56,7.56,122.936
91,202.948,-0.747,-1.194,-17.475,14.032,-724.2
92,168.248,0.203,0.549,9.843,12.843,546.103
93,102.903,-0.935,0.011,7.039,10.039,261.273
94,2.843,0.704,-0.593,-1.032,1.968,1.358
95,61.897,-0.705,-0.695,5.153,8.153,121.149
96,1.457,0.601,-1.049,-1.915,1.085,0.331
97,0.756,-0.333,0.506,-3.384,0.974,0.216
98,154.554,-0.067,0.944,9.413,12.413,480.427
99,41.812,-0.083,1.166,3.669,6.669,67.279
100,2.789,-0.734,-0.915,-4.575,1.721,-1.046
101,3.091,0.758,-0.823,-1.147,1.853,1.405
102,4.929,-0.915,-0.5,-5.719,1.902,-3.492
103,73.337,-0.909,-0.134,5.581,8.581,156.968
104,333.514,0.288,0.28,15.153,18.153,1523.344
105,31.72,0.3,-0.12,2.21,5.21,45.18
106,5.338,-0.903,0.058,-4.989,2.516,-2.595
107,384.282,-0.363,0.494,17.002,20.002,1880.679
108,224.74,0.938,-0.104,11.742,14.742,843.482
109,8.366,0.994,0.685,-0.297,2.703,6.071
110,39.494,-0.003,0.943,3.232,6.232,62.127
111,99.968,0.958,0.249,-13.154,9.857,-250.585
112,252.386,0.996,0.896,12.848,15.848,1002.593
113,76.104,-0.936,0.446,6.02,9.02,165.265
114,2.223,0.679,-0.996,-1.514,1.486,0.825
115,98.197,-0.969,0.225,6.611,9.611,244.124
116,17.783,-0.872,-0.013,-6.721,4.607,-17.608
117,96.825,0.98,0.985,-12.537,10.114,-236.837
118,53.528,-0.487,-0.202,4.543,7.543,97.482
119,0.308,-0.231,0.688,-3.375,0.557,0.066
120,5.86,0.945,-0.028,-0.788,2.212,3.525
121,1.199,-0.517,-0.546,-4.066,1.105,-0.301
122,88.405,-1.0,0.905,6.313,9.313,208.044
123,217.252,-0.882,-0.019,-17.365,15.089,-798.182
124,6.995,-0.978,0.243,-6.154,2.296,-5.486
125,66.159,0.797,-0.741,-11.013,8.24,-134.073
126,73.128,-0.903,0.047,5.788,8.788,155.787
127,0.99,-0.475,-0.385,-3.978,1.001,-0.23
128,584.252,-0.463,-0.271,21.246,24.246,3529.912
129,93.752,-0.993,1.179,6.961,9.961,226.166
130,1.302,0.435,0.261,-1.609,1.391,0.673
131,0.613,-0.324,0.425,-3.483,0.837,0.105
132,444.097,0.895,-0.062,-23.86,21.278,-2337.819
133,1.873,-0.599,-0.621,-4.065,1.506,-0.31
134,605.152,0.26,0.128,-27.976,24.239,-3725.433
135,0.354,-0.348,-0.003,-3.862,0.56,-0.241
